"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","ISO","wRC+","WAR","playerid"
"Aledmys Diaz","130","422","452","111","67","26","0","18","55","55","23","2","62","3","4","0","9","3","4",".263",".303",".453",".756",".190","102","1.6","15937"
"Randal Grichuk","124","424","462","104","46","32","1","25","60","61","27","0","122","8","3","0","5","3","2",".245",".301",".502",".803",".257","115","2.1","10243"
"Teoscar Hernandez","134","476","523","114","56","29","7","22","67","57","41","0","163","3","3","0","14","5","5",".239",".302",".468",".771",".229","107","0.3","13066"
"Kevin Pillar","142","512","542","129","72","40","2","15","65","59","18","0","98","6","6","0","8","14","3",".252",".282",".426",".708",".174","89","2.0","12434"
"Luke Maile","68","202","231","50","33","13","1","3","22","27","25","0","67","2","2","0","4","2","0",".248",".333",".366",".700",".119","95","2.2","13355"
"Josh Donaldson","36","137","159","32","16","11","0","5","22","16","21","2","44","0","1","0","1","2","0",".234",".333",".423",".757",".190","105","0.8","5038"
"Devon Travis","103","357","378","83","55","14","3","11","41","44","16","1","64","5","0","0","8","3","2",".232",".275",".381",".656",".148","77","-0.5","13862"
"Justin Smoak","147","505","594","122","63","34","0","25","67","77","83","2","156","3","3","0","11","0","1",".242",".350",".457",".808",".216","121","1.7","9054"
"Kendrys Morales","130","413","471","103","67","15","0","21","47","57","50","5","95","3","5","0","15","2","3",".249",".331",".438",".769",".189","108","0.2","8610"
