"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Tim Anderson","153","567","606","136","85","28","3","20","77","64","30","2","149","4","3","2","15","26","8",".240",".281",".406",".687","85","2.0","15172"
"Avisail Garcia","93","356","385","84","52","11","2","19","47","49","20","2","102","4","5","0","9","3","1",".236",".281",".438",".719","92","0.0","5760"
"Nicky Delmonico","88","284","318","61","37","11","5","8","31","25","27","1","80","6","1","0","7","1","2",".215",".296",".373",".669","84","-0.3","13157"
"Adam Engel","143","429","463","101","74","17","4","6","49","29","18","0","129","8","1","7","1","16","8",".235",".279",".336",".614","68","0.2","15082"
"Omar Narvaez","97","280","322","77","53","14","1","9","30","30","38","1","65","2","0","2","5","0","2",".275",".366",".429",".794","122","1.0","13338"
"Yoan Moncada","149","578","650","136","81","32","6","17","73","61","67","1","217","1","2","2","4","12","6",".235",".315",".400",".714","97","2.0","17232"
"Yolmer Sanchez","155","600","662","145","93","34","10","8","62","55","49","0","138","8","3","2","9","14","6",".242",".306",".372",".678","87","1.7","11602"
"Jose Abreu","128","499","553","132","73","36","1","22","68","78","37","7","109","11","6","0","14","2","0",".265",".325",".473",".798","114","1.2","15676"
"Daniel Palka","124","417","449","100","55","15","3","27","56","67","30","3","153","2","0","0","7","2","1",".240",".294",".484",".778","109","0.7","14897"
