"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","ISO","wRC+","WAR","playerid"
"Mike Trout","140","471","608","147","80","24","4","39","101","79","122","25","124","10","4","0","5","24","2",".312",".460",".628","1.088",".316","191","9.8","10155"
"Andrelton Simmons","146","554","600","162","120","26","5","11","68","75","35","2","44","5","5","1","17","10","2",".292",".337",".417",".754",".125","109","5.5","10847"
"Shohei Ohtani","114","326","367","93","48","21","2","22","59","61","37","2","102","2","1","0","2","10","4",".285",".361",".564",".925",".279","152","2.8","19755"
"Kole Calhoun","137","491","552","102","63","18","2","19","71","57","53","2","133","1","6","0","9","6","2",".208",".283",".369",".652",".161","79","0.0","11200"
"Justin Upton","145","533","613","137","88","18","1","30","80","85","64","1","176","10","6","0","12","8","2",".257",".344",".463",".808",".206","124","3.1","5222"
"Jose Briceno","46","117","128","28","21","2","0","5","12","10","8","0","35","2","0","1","2","0","1",".239",".299",".385",".684",".145","91","0.4","13151"
"David Fletcher","80","284","307","78","57","18","2","1","35","25","15","0","34","3","2","3","7","3","0",".275",".316",".363",".678",".088","89","1.9","17992"
"Ian Kinsler","91","355","391","85","52","20","0","13","49","32","30","0","40","4","2","0","10","9","4",".239",".304",".406",".710",".166","97","2.2","6195"
"Jose Fernandez","36","116","123","31","21","8","0","2","9","11","6","0","15","1","0","0","2","1","0",".267",".309",".388",".697",".121","94","0.2","19254"
