"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Willy Adames","85","288","323","80","63","7","0","10","43","34","31","3","95","1","2","1","6","6","5",".278",".348",".406",".754","109","1.3","15986"
"Carlos Gomez","118","360","408","75","49","15","2","9","42","32","25","0","103","21","0","2","6","12","3",".208",".298",".336",".634","80","-0.5","4881"
"Tommy Pham","39","143","174","49","29","7","6","7","35","22","25","1","43","4","2","0","6","5","1",".343",".448",".622","1.071","191","2.5","2967"
"Kevin Kiermaier","88","332","367","72","44","12","9","7","44","29","25","2","91","6","2","2","4","10","5",".217",".282",".370",".653","78","1.6","11038"
"Wilson Ramos","78","293","315","87","59","14","0","14","30","53","22","1","61","0","0","0","17","0","0",".297",".346",".488",".834","130","1.5","1433"
"Joey Wendle","139","487","545","146","100","33","6","7","62","61","37","4","96","9","10","2","11","16","4",".300",".354",".435",".789","116","3.7","13853"
"Matt Duffy","132","503","560","148","121","22","1","4","59","44","47","1","93","7","2","1","12","12","6",".294",".361",".366",".727","106","2.4","13836"
"Jake Bauers","96","323","388","65","30","22","2","11","48","48","54","0","104","3","6","2","3","6","6",".201",".316",".384",".700","95","0.6","15194"
"Ji-Man Choi","49","160","189","43","22","12","1","8","21","27","24","0","41","3","2","0","0","2","0",".269",".370",".506",".877","141","1.1","5452"
