"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Jean Segura","144","586","632","178","136","29","3","10","91","63","32","2","69","4","6","4","17","20","11",".304",".341",".415",".755","111","3.8","5933"
"Mitch Haniger","157","596","683","170","102","38","4","26","90","93","70","4","148","10","7","0","8","8","2",".285",".366",".493",".859","138","4.6","14274"
"Denard Span","94","294","328","80","52","15","6","7","36","30","23","0","55","5","6","0","5","3","2",".272",".329",".435",".765","112","0.9","8347"
"Guillermo Heredia","125","292","337","69","49","14","1","5","29","19","32","0","52","4","2","7","4","2","4",".236",".318",".342",".661","89","0.1","18721"
"Mike Zunino","113","373","405","75","37","18","0","20","37","44","24","0","150","6","2","0","7","0","0",".201",".259",".410",".669","84","2.1","13265"
"Kyle Seager","155","583","630","129","70","36","1","22","62","78","38","3","138","5","4","0","10","2","2",".221",".273",".400",".673","84","1.6","9785"
"Nelson Cruz","144","519","591","133","77","18","1","37","70","97","55","5","122","14","3","0","15","1","0",".256",".342",".509",".850","134","2.6","2434"
"Ryon Healy","133","493","524","116","77","15","0","24","51","73","27","0","113","2","2","0","21","0","0",".235",".277",".412",".688","90","-0.8","15447"
"Robinson Cano","80","310","348","94","62","22","0","10","44","50","32","2","47","4","2","0","9","0","0",".303",".374",".471",".845","136","2.9","3269"
