"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Jose Ramirez","157","578","698","156","75","38","4","39","110","105","106","15","80","8","6","0","2","34","6",".270",".387",".552",".939","146","8.0","13510"
"Melky Cabrera","78","250","278","70","47","17","0","6","28","39","20","0","38","3","5","0","10","1","1",".280",".335",".420",".755","102","0.4","4022"
"Michael Brantley","143","570","631","176","121","36","2","17","89","76","48","0","60","5","6","1","15","12","3",".309",".364",".468",".832","124","3.5","4106"
"Greg Allen","91","265","291","68","52","11","3","2","36","20","14","1","58","7","1","4","5","21","4",".257",".310",".343",".654","75","0.0","16623"
"Yan Gomes","112","403","435","107","65","26","0","16","52","48","21","2","119","8","3","0","4","0","0",".266",".313",".449",".762","101","2.5","9627"
"Francisco Lindor","158","661","745","183","101","42","2","38","129","92","70","7","107","8","3","3","5","25","10",".277",".352",".519",".871","130","7.6","12916"
"Edwin Encarnacion","137","500","579","123","74","16","1","32","74","107","63","2","132","8","7","0","14","3","0",".246",".336",".474",".810","115","1.0","2151"
"Yonder Alonso","145","516","574","129","87","19","0","23","64","83","51","1","123","2","5","0","10","0","0",".250",".317",".421",".738","97","0.7","2530"
"Jason Kipnis","147","530","601","122","75","28","1","18","65","75","60","1","112","7","3","1","5","7","1",".230",".315",".389",".704","89","2.1","9776"
