"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Elvis Andrus","97","395","428","101","72","20","3","6","53","33","28","0","66","3","2","0","8","5","3",".256",".308",".367",".675","78","1.2","8709"
"Nomar Mazara","128","489","536","126","80","25","1","20","61","77","40","2","116","4","3","0","13","1","0",".258",".317",".436",".753","96","1.0","14553"
"Joey Gallo","148","500","577","103","38","24","1","40","82","92","74","4","207","3","0","0","3","3","4",".206",".312",".498",".810","110","2.8","14128"
"Delino DeShields","106","334","393","72","55","14","1","2","52","22","43","0","83","3","1","12","1","20","4",".216",".310",".281",".591","61","0.3","11379"
"Robinson Chirinos","113","360","426","80","46","15","1","18","48","65","45","0","140","19","2","0","7","2","0",".222",".338",".419",".757","103","0.0","3142"
"Adrian Beltre","119","433","481","118","79","23","1","15","49","65","34","2","96","6","8","0","13","1","0",".273",".328",".434",".763","99","1.2","639"
"Rougned Odor","129","474","535","120","77","23","2","18","76","63","43","2","127","11","5","2","5","12","12",".253",".326",".424",".751","97","2.5","12282"
"Ronald Guzman","123","387","428","91","55","18","2","16","46","58","33","2","121","7","1","0","8","1","0",".235",".306",".416",".722","88","0.5","14388"
"Shin-Soo Choo","146","560","665","148","96","30","1","21","83","62","92","2","156","10","2","1","11","6","1",".264",".377",".434",".810","118","2.4","3174"
