"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Alcides Escobar","140","485","531","112","83","22","3","4","54","34","29","1","74","5","4","8","14","8","2",".231",".279",".313",".593","60","-0.3","6310"
"Jorge Soler","61","223","257","59","32","18","0","9","27","28","28","0","69","4","2","0","6","3","1",".265",".354",".466",".820","123","1.0","14221"
"Alex Gordon","141","506","568","124","87","24","0","13","56","54","50","4","124","10","2","0","7","12","2",".245",".324",".370",".694","89","1.7","5209"
"Whit Merrifield","158","632","707","192","134","43","3","12","88","60","61","2","114","6","6","2","12","45","10",".304",".367",".438",".806","120","5.2","11281"
"Salvador Perez","129","510","544","120","70","23","0","27","52","80","17","0","108","12","5","0","19","1","1",".235",".274",".439",".713","89","0.6","7304"
"Mike Moustakas","98","378","417","94","52","21","1","20","46","62","30","3","63","5","4","0","10","3","0",".249",".309",".468",".778","106","1.7","4892"
"Abraham Almonte","50","134","151","24","18","1","2","3","15","9","15","0","36","0","1","1","6","2","2",".179",".260",".284",".544","48","-0.6","5486"
"Lucas Duda","87","310","345","75","49","12","1","13","34","48","24","2","95","8","3","0","4","1","0",".242",".310",".413",".723","94","-0.1","2502"
"Ryan O'Hearn","44","149","170","39","15","10","2","12","23","30","20","0","45","1","0","0","0","0","0",".262",".353",".597",".950","153","0.8","16442"
