"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Jorge Polanco","77","302","333","87","60","18","3","6","38","42","25","0","62","2","1","3","5","7","7",".288",".345",".427",".773","110","1.3","13152"
"Max Kepler","156","532","611","119","65","30","4","20","80","58","71","2","96","5","3","0","8","4","5",".224",".319",".408",".727","97","2.6","12144"
"Eddie Rosario","138","559","592","161","104","31","2","24","87","77","30","5","104","0","2","1","4","8","2",".288",".323",".479",".803","113","3.4","12155"
"Jake Cave","91","283","309","75","44","16","2","13","54","45","18","2","102","3","3","2","2","2","1",".265",".313",".473",".786","108","1.3","14477"
"Mitch Garver","103","302","335","81","53","19","2","7","38","45","29","2","72","2","1","1","8","0","0",".268",".335",".414",".749","102","0.2","15161"
"Eduardo Escobar","97","368","408","101","46","37","3","15","45","63","34","6","91","3","3","0","7","1","3",".274",".338",".514",".852","124","2.4","6153"
"Robbie Grossman","129","396","465","108","75","27","1","5","50","48","60","0","83","2","5","2","2","0","1",".273",".367",".384",".751","108","0.7","5254"
"Joe Mauer","127","486","543","137","103","27","1","6","64","48","51","5","86","2","3","1","9","0","1",".282",".351",".379",".729","98","1.0","1857"
"Brian Dozier","104","410","462","93","54","21","2","16","65","52","46","1","96","3","3","0","7","8","3",".227",".307",".405",".712","92","1.0","9810"
