"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","ISO","wRC+","WAR","playerid"
"Marcus Semien","159","632","703","161","109","35","2","15","89","70","61","1","131","1","7","2","12","14","6",".255",".318",".388",".706",".133","95","3.7","12533"
"Stephen Piscotty","151","546","605","146","78","41","0","27","78","88","42","0","114","12","5","0","21","2","0",".267",".331",".491",".821",".223","125","3.0","13367"
"Ramon Laureano","48","156","176","45","27","12","1","5","27","19","16","0","50","2","2","0","0","7","1",".288",".358",".474",".832",".186","129","2.1","17128"
"Mark Canha","122","365","411","91","52","22","0","17","60","52","34","3","88","10","2","0","11","1","2",".249",".328",".449",".778",".200","113","2.0","11445"
"Jonathan Lucroy","126","415","454","100","74","21","1","4","41","51","29","1","65","3","6","1","12","0","0",".241",".291",".325",".617",".084","70","0.2","7870"
"Matt Chapman","145","547","616","152","80","42","6","24","100","68","58","0","146","9","2","0","18","1","2",".278",".356",".508",".864",".230","137","6.5","16505"
"Jed Lowrie","157","596","680","159","98","37","1","23","78","99","78","1","128","3","3","0","8","0","0",".267",".353",".448",".801",".181","122","4.9","4418"
"Matt Olson","162","580","660","143","81","33","0","29","85","84","70","3","163","8","2","0","13","2","1",".247",".335",".453",".788",".207","117","3.4","14344"
"Khris Davis","151","576","654","142","65","28","1","48","98","123","59","5","175","12","7","0","16","0","0",".247",".326",".549",".874",".302","135","2.6","9112"
