"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Manny Machado","96","365","413","115","69","21","1","24","48","65","45","12","51","0","3","0","14","8","1",".315",".387",".575",".963","155","3.8","11493"
"Joey Rickard","79","213","230","52","33","10","1","8","27","23","15","0","55","2","0","0","3","4","2",".244",".300",".413",".713","93","0.6","13277"
"Trey Mancini","156","582","636","141","91","23","3","24","69","58","44","1","153","5","5","0","17","0","1",".242",".299",".416",".715","93","-0.2","15149"
"Adam Jones","145","580","613","163","113","35","0","15","54","63","24","1","93","5","4","0","21","7","1",".281",".313",".419",".732","98","0.5","6368"
"Caleb Joseph","82","265","280","58","39","14","2","3","28","17","10","0","68","3","1","1","3","2","1",".219",".254",".321",".575","54","-0.4","7087"
"Renato Nunez","60","200","220","55","35","13","0","7","26","20","16","0","50","3","1","0","4","0","0",".275",".336",".445",".781","113","0.9","14503"
"Jonathan Schoop","85","349","367","85","49","18","1","17","45","40","12","1","74","3","2","1","8","0","1",".244",".273",".447",".720","91","0.9","11265"
"Chris Davis","128","470","522","79","51","12","0","16","40","49","41","2","192","7","4","0","5","2","0",".168",".243",".296",".539","46","-3.1","9272"
"Mark Trumbo","90","330","358","86","57","12","0","17","41","44","24","0","87","2","2","0","10","0","0",".261",".313",".452",".764","107","0.3","6876"
