"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wRC+","WAR","playerid"
"Didi Gregorius","134","504","569","135","80","23","5","27","89","86","48","3","69","7","9","1","8","10","6",".268",".335",".494",".829","121","4.6","6012"
"Aaron Judge","112","413","498","115","66","22","0","27","77","67","76","3","152","4","5","0","10","6","3",".278",".392",".528",".919","149","5.1","15640"
"Brett Gardner","140","530","609","125","86","20","7","12","95","45","65","0","107","5","5","4","6","16","2",".236",".322",".368",".690","90","2.5","9927"
"Aaron Hicks","137","480","581","119","71","18","3","27","90","79","90","1","111","3","6","2","1","11","2",".248",".366",".467",".833","127","4.9","5297"
"Gary Sanchez","89","323","374","60","25","17","0","18","51","53","46","0","94","3","2","0","10","1","0",".186",".291",".406",".697","89","1.7","11442"
"Miguel Andujar","149","573","606","170","94","47","2","27","83","92","25","2","97","4","4","0","9","2","1",".297",".328",".527",".855","128","2.7","15878"
"Giancarlo Stanton","158","617","705","164","91","34","1","38","102","100","70","5","211","8","10","0","17","5","0",".266",".343",".509",".852","127","4.2","4949"
"Gleyber Torres","123","431","484","117","76","16","1","24","54","77","42","3","122","5","5","1","8","6","2",".271",".340",".480",".820","120","1.9","16997"
"Greg Bird","82","272","311","54","26","16","1","11","23","38","30","1","78","5","4","0","4","0","0",".199",".286",".386",".672","81","0.0","14131"
